ID, name, variables, regulations
001, SIGNALING-IN-MACROPHAGE-ACTIVATION, 302, 19, 533
002, SIGNAL-TRANSDUCTION-IN-FIBROBLASTS, 130, 9, 557
003, MAMMALIAN-CELL-CYCLE, 19, 1, 51
004, ERBB-RECEPTOR-SIGNALING, 225, 22, 1100
005, FA-BRCA-PATHWAY, 28, 0, 123
006, HGF-SIGNALING-IN-KERATINOCYTES, 62, 6, 103
007, CORTICAL-AREA-DEVELOPMENT, 5, 0, 14
008, DEATH-RECEPTOR-SIGNALING, 25, 3, 45
009, YEAST-APOPTOSIS, 60, 13, 114
010, CARDIAC-DEVELOPMENT, 13, 2, 37
011, GUARD-CELL-ABSCISIC-ACID-SIGNALING, 40, 4, 78
012, T-CELL-RECEPTOR-SIGNALING, 94, 7, 158
013, CHOLESTEROL-REGULATORY-PATHWAY, 32, 2, 41
014, T-LGL-SURVIVAL-NETWORK-2008, 54, 7, 193
015, NEUROTRANSMITTER-SIGNALING-PATHWAY, 14, 2, 20
016, IL-1-SIGNALING, 104, 14, 218
017, DIFFERENTIATION-OF-T-LYMPHOCYTES, 41, 9, 97
018, EGFR-ERBB-SIGNALING, 76, 28, 226
019, IL-6-SIGNALING, 71, 15, 149
020, APOPTOSIS-NETWORK, 39, 2, 73
021, BODY-SEGMENTATION-IN-DROSOPHILA-2013, 14, 3, 29
022, B-CELL-DIFFERENTIATION, 17, 5, 39
023, MAMMALIAN-CELL-CYCLE-2006, 9, 1, 34
024, BUDDING-YEAST-CELL-CYCLE, 16, 4, 42
025, T-LGL-SURVIVAL-NETWORK-2011, 54, 6, 195
026, BUDDING-YEAST-CELL-CYCLE-2009, 18, 0, 59
027, WG-PATHWAY-OF-DROSOPHILA, 12, 14, 29
028, VEGF-PATHWAY-OF-DROSOPHILA, 10, 8, 18
029, TOLL-PATHWAY-OF-DROSOPHILA, 9, 2, 11
030, SPZ-NETWORK-OF-DROSOPHILA, 18, 6, 28
031, CELL-CYCLE-TRANSCRIPTION, 9, 0, 19
032, T-CELL-SIGNALLING-2006, 37, 3, 53
033, BT474-BREAST-CELL-LINE-LONG-TERM, 19, 5, 68
034, HCC1954-BREAST-CELL-LINE-LONG-TERM, 19, 4, 68
035, BT474-BREAST-CELL-LINE-SHORT-TERM, 11, 5, 46
036, HCC1954-BREAST-CELL-LINE-SHORT-TERM, 11, 5, 46
037, SKBR3-BREAST-CELL-LINE-SHORT-TERM, 11, 5, 41
038, SKBR3-BREAST-CELL-LINE-LONG-TERM, 21, 4, 81
039, HIV-1-INTERACTIONS-WITH-T-CELL-SIGNALING, 124, 14, 368
040, T-CELL-DIFFERENTIATION, 19, 4, 34
041, INFLUENZA-VIRUS-REPLICATION-CYCLE, 120, 11, 302
042, TOL-REGULATORY-NETWORK, 14, 10, 48
043, BORDETELLA-BRONCHISEPTICA, 33, 0, 79
